mass,mass units,time,time units,temperature,temperature units
9.861144259886744,mg,17.274104441951017,min,320.0,Kelvin
9.856718585942136,mg,18.43308331717676,min,320.0,Kelvin
9.835847846047779,mg,19.592062192402505,min,320.0,Kelvin
9.842446252693936,mg,20.751041067628247,min,320.0,Kelvin
9.795509402588666,mg,21.91001994285399,min,320.0,Kelvin
9.780169128856631,mg,23.068998818079734,min,320.0,Kelvin
9.773949866476588,mg,24.227977693305476,min,320.0,Kelvin
9.78457969064543,mg,25.386956568531218,min,320.0,Kelvin
9.748531498088232,mg,26.54593544375696,min,320.0,Kelvin
9.741805518004655,mg,27.704914318982706,min,320.0,Kelvin
9.728326826926716,mg,28.863893194208448,min,320.0,Kelvin
9.672181965033895,mg,30.022872069434193,min,320.0,Kelvin
9.651136159398602,mg,31.181850944659935,min,320.0,Kelvin
9.683392181122972,mg,32.34082981988568,min,320.0,Kelvin
9.61975280935133,mg,33.49980869511142,min,320.0,Kelvin
9.61361155529985,mg,34.65878757033717,min,320.0,Kelvin
9.605162567804364,mg,35.81776644556291,min,320.0,Kelvin
9.589666702654808,mg,36.97674532078865,min,320.0,Kelvin
9.547398554309696,mg,38.135724196014394,min,320.0,Kelvin
9.537718661043488,mg,39.294703071240136,min,320.0,Kelvin
9.503592845738421,mg,40.45368194646588,min,320.0,Kelvin
9.482857069710937,mg,41.61266082169162,min,320.0,Kelvin
9.489133568164966,mg,42.77163969691736,min,320.0,Kelvin
9.43234354276467,mg,43.9306185721431,min,320.0,Kelvin
9.398048107759953,mg,45.08959744736885,min,320.0,Kelvin
9.375866656003256,mg,46.248576322594595,min,320.0,Kelvin
9.372056839338798,mg,47.407555197820336,min,320.0,Kelvin
9.37962085316941,mg,48.56653407304608,min,320.0,Kelvin
9.358521578357939,mg,49.72551294827182,min,320.0,Kelvin
9.328154169100916,mg,50.88449182349757,min,320.0,Kelvin
9.26116415895361,mg,52.04347069872331,min,320.0,Kelvin
9.27217745930219,mg,53.20244957394905,min,320.0,Kelvin
9.245299938371039,mg,54.361428449174795,min,320.0,Kelvin
9.193117023084355,mg,55.52040732440054,min,320.0,Kelvin
9.201220991174264,mg,56.67938619962628,min,320.0,Kelvin
9.165178555837969,mg,57.83836507485202,min,320.0,Kelvin
9.147975032263723,mg,58.99734395007777,min,320.0,Kelvin
9.144797937540453,mg,60.15632282530351,min,320.0,Kelvin
9.093637931065873,mg,61.315301700529254,min,320.0,Kelvin
9.056646925588328,mg,62.474280575754996,min,320.0,Kelvin
9.07094835124596,mg,63.63325945098074,min,320.0,Kelvin
9.044613643057767,mg,64.79223832620647,min,320.0,Kelvin
9.011940609050864,mg,65.95121720143223,min,320.0,Kelvin
9.009946366369908,mg,67.11019607665797,min,320.0,Kelvin
8.963038544597456,mg,68.26917495188371,min,320.0,Kelvin
8.923823528642394,mg,69.42815382710945,min,320.0,Kelvin
8.910846441558576,mg,70.5871327023352,min,320.0,Kelvin
8.896193988972314,mg,71.74611157756094,min,320.0,Kelvin
8.857718911301493,mg,72.90509045278668,min,320.0,Kelvin
8.874981876849972,mg,74.06406932801244,min,320.0,Kelvin
8.831890399812142,mg,75.22304820323816,min,320.0,Kelvin
