mass,mass units,time,time units,temperature,temperature units
9.91,mg,7.349122565528258,min,325.0,Kelvin
9.897878594894593,mg,7.842200388087149,min,325.0,Kelvin
9.88506477630904,mg,8.33527821064604,min,325.0,Kelvin
9.87157555722947,mg,8.82835603320493,min,325.0,Kelvin
9.85742875016196,mg,9.321433855763821,min,325.0,Kelvin
9.842642927973438,mg,9.814511678322711,min,325.0,Kelvin
9.827237383307251,mg,10.307589500881601,min,325.0,Kelvin
9.811232086697446,mg,10.800667323440493,min,325.0,Kelvin
9.794647643508787,mg,11.293745145999383,min,325.0,Kelvin
9.777505249832249,mg,11.786822968558273,min,325.0,Kelvin
9.759826647467783,mg,12.279900791117164,min,325.0,Kelvin
9.741634078127774,mg,12.772978613676054,min,325.0,Kelvin
9.722950236995734,mg,13.266056436234944,min,325.0,Kelvin
9.703798225775296,mg,13.759134258793836,min,325.0,Kelvin
9.684201505364788,mg,14.252212081352726,min,325.0,Kelvin
9.664183848292131,mg,14.745289903911615,min,325.0,Kelvin
9.643769291043997,mg,15.238367726470507,min,325.0,Kelvin
9.622982086421771,mg,15.731445549029397,min,325.0,Kelvin
9.601846656054985,mg,16.22452337158829,min,325.0,Kelvin
9.580387543200636,mg,16.71760119414718,min,325.0,Kelvin
9.558629365954049,mg,17.21067901670607,min,325.0,Kelvin
9.536596770993764,mg,17.703756839264962,min,325.0,Kelvin
9.514314387979425,mg,18.19683466182385,min,325.0,Kelvin
9.491806784717646,mg,18.68991248438274,min,325.0,Kelvin
9.469098423206557,mg,19.182990306941633,min,325.0,Kelvin
9.446213616665123,mg,19.67606812950052,min,325.0,Kelvin
9.42317648764832,mg,20.169145952059413,min,325.0,Kelvin
9.4000109273441,mg,20.662223774618305,min,325.0,Kelvin
9.376740556142494,mg,21.155301597177193,min,325.0,Kelvin
9.353388685561569,mg,21.648379419736084,min,325.0,Kelvin
9.329978281608986,mg,22.141457242294976,min,325.0,Kelvin
9.306531929651761,mg,22.634535064853864,min,325.0,Kelvin
9.283071800860702,mg,23.127612887412756,min,325.0,Kelvin
9.25961962028947,mg,23.620690709971647,min,325.0,Kelvin
9.236196636641912,mg,24.113768532530536,min,325.0,Kelvin
9.212823593774639,mg,24.606846355089427,min,325.0,Kelvin
9.189520703975425,mg,25.09992417764832,min,325.0,Kelvin
9.166307623051305,mg,25.593002000207207,min,325.0,Kelvin
9.143203427253777,mg,26.0860798227661,min,325.0,Kelvin
9.120226592062071,mg,26.57915764532499,min,325.0,Kelvin
9.097394972838881,mg,27.072235467883882,min,325.0,Kelvin
9.074725787366813,mg,27.56531329044277,min,325.0,Kelvin
9.052235600267466,mg,28.05839111300166,min,325.0,Kelvin
9.029940309299075,mg,28.551468935560553,min,325.0,Kelvin
9.00785513352275,mg,29.04454675811944,min,325.0,Kelvin
8.985994603321595,mg,29.537624580678333,min,325.0,Kelvin
8.964372552251566,mg,30.030702403237225,min,325.0,Kelvin
8.943002110697563,mg,30.523780225796113,min,325.0,Kelvin
8.921895701303267,mg,31.016858048355004,min,325.0,Kelvin
8.90106503613843,mg,31.509935870913896,min,325.0,Kelvin
